Fecha,Close,Ticker
2021-11-02,145.432495,GOOGL
2021-11-02,147.089996,TLT
2021-11-02,150.020004,AAPL
2021-11-02,165.637497,AMZN
2021-11-02,167.160004,GLD
2021-11-02,238.830002,VTI
2021-11-02,328.079987,META
2021-11-02,333.130005,MSFT
2021-11-02,389.049988,QQQ
2021-11-02,390.666656,TSLA
2021-11-02,424.690002,VOO
2021-11-02,471.809998,CSPX.L
2021-11-03,26.598,NVDA
2021-11-03,40.529999,XLF
2021-11-03,62.689999,IEMG
2021-11-03,81.760002,EFA
2021-11-03,81.830002,XLK
2021-11-03,145.570007,TLT
2021-11-03,146.598007,GOOGL
2021-11-03,151.490005,AAPL
2021-11-03,165.770004,GLD
2021-11-03,169.199997,AMZN
2021-11-03,240.520004,VTI
2021-11-03,331.619995,META
2021-11-03,334.0,MSFT
2021-11-03,393.179993,QQQ
2021-11-03,404.619995,TSLA
2021-11-03,427.25,VOO
2021-11-03,471.470001,CSPX.L
2021-11-04,29.801001,NVDA
2021-11-04,40.0,XLF
2021-11-04,62.57,IEMG
2021-11-04,81.709999,EFA
2021-11-04,83.110001,XLK
2021-11-04,147.100006,TLT
2021-11-04,148.267502,GOOGL
2021-11-04,150.960007,AAPL
2021-11-04,167.649994,GLD
2021-11-04,173.850006,AMZN
2021-11-04,241.429993,VTI
2021-11-04,335.850006,META
2021-11-04,336.440002,MSFT
2021-11-04,398.220001,QQQ
2021-11-04,409.970001,TSLA
2021-11-04,429.25,VOO
2021-11-04,475.799988,CSPX.L
2021-11-05,29.752001,NVDA
2021-11-05,40.02,XLF
2021-11-05,62.540001,IEMG
2021-11-05,81.830002,EFA
2021-11-05,83.540001,XLK
2021-11-05,148.852005,GOOGL
2021-11-05,149.300003,TLT
2021-11-05,151.279999,AAPL
2021-11-05,169.839996,GLD
2021-11-05,175.949493,AMZN
2021-11-05,242.360001,VTI
2021-11-05,336.059998,MSFT
2021-11-05,341.130005,META
2021-11-05,398.600006,QQQ
2021-11-05,407.363342,TSLA
2021-11-05,430.709991,VOO
2021-11-05,479.690002,CSPX.L
2021-11-08,30.804001,NVDA
2021-11-08,40.240002,XLF
2021-11-08,63.110001,IEMG
2021-11-08,81.82,EFA
2021-11-08,83.989998,XLK
2021-11-08,149.020004,TLT
2021-11-08,149.031006,GOOGL
2021-11-08,150.440002,AAPL
2021-11-08,170.449997,GLD
2021-11-08,174.449005,AMZN
2021-11-08,242.759995,VTI
2021-11-08,336.98999,MSFT
2021-11-08,338.619995,META
2021-11-08,387.646667,TSLA
2021-11-08,398.059998,QQQ
2021-11-08,431.230011,VOO
2021-11-08,479.170013,CSPX.L
2021-11-09,30.657,NVDA
